Provider,Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Min Required Score (1-5),Notes and Evidence
Azure,1,IAM,MFA Coverage,Percentage of user identities protected with multi-factor authentication across all access scenarios.,No MFA,Optional MFA (<50%),MFA for admins & 70% users,MFA for >95% users,100% + passwordless,,,
Azure,2,IAM,Conditional Access,"Enforcement of access control policies based on user, device, location, and risk conditions.",No policies,Basic policies,Policies for critical apps,Policies for all apps,Risk-based adaptive access,,,
Azure,3,IAM,Privileged Access (PIM),"Management of privileged roles using just-in-time access, approvals, and time-bound assignments.",Shared admin,Named admins,PIM for critical roles,PIM enforced all roles,JIT + approval workflows,,,
Azure,4,IAM,Least Privilege,Degree to which users and services are granted only the minimum permissions required to perform tasks.,Full admin access,Basic roles,RBAC defined,Fine-grained RBAC,Auto least privilege,,,
Azure,5,IAM,Identity Lifecycle,"Automation of user identity provisioning, modification, and deprovisioning based on lifecycle events.",Manual,Partial automation,Automated provisioning,Full lifecycle automation,Event-driven identity mgmt,,,
Azure,6,IAM,Phishing-Resistant MFA,Use of strong authentication methods such as FIDO2 or passwordless authentication.,Password only,Basic MFA,MFA enforced,Strong MFA,Passwordless enforced,,,
Azure,7,IAM,Privileged Activity Monitoring,Monitoring and alerting on privileged user activities for security and audit purposes.,No monitoring,Basic logs,Logs reviewed,Alerts configured,Automated detection & response,,,
Azure,8,Cloud Security,Secure Score,Overall cloud security posture measured using recommendations and compliance insights.,Not tracked,<40%,40-70%,70-90%,>90% + auto fix,,,
Azure,9,Cloud Security,Vulnerability Mgmt,"Continuous identification, assessment, and remediation of vulnerabilities across workloads.",None,Manual scans,Scheduled scans,Continuous scans,Auto remediation,,,
Azure,10,Cloud Security,Secrets Mgmt,"Secure storage, access, and rotation of secrets, keys, and certificates using centralized services.",Hardcoded secrets,Partial KV,KV used widely,Full secret governance,Auto rotation + audit,,,
Azure,11,Cloud Security,Zero Trust,Implementation of a security model that verifies every access request regardless of network location.,None,Basic controls,Partial Zero Trust,Org-wide Zero Trust,Fully enforced + adaptive,,,
Azure,12,Cloud Security,JIT Access,"Restriction of resource access by granting temporary, time-bound permissions only when required.",Open access,NSG only,JIT for some VMs,JIT enforced,Fully automated JIT,,,
Azure,13,Cloud Security,Key Rotation Policy,"Automated rotation and lifecycle management of encryption keys, secrets, and certificates.",No rotation,Manual rotation,Scheduled rotation,Automated rotation,Fully policy-driven rotation,,,
Azure,14,Cloud Security,SIEM Integration,Integration of security logs and alerts into centralized SIEM such as Microsoft Sentinel.,No SIEM,Partial logs,Logs integrated,Correlated alerts,AI-driven detection & response,,,
Azure,15,Networking,Architecture,"Design of network topology including segmentation, routing, and connectivity patterns.",Flat network,Basic VNet,Segmented subnets,Hub-Spoke,Zero Trust network,,,
Azure,16,Networking,Private Endpoints,Use of private network access to securely connect to platform services without public exposure.,Public endpoints,Partial private,Most PaaS private,Fully private,No public exposure,,,
Azure,17,Networking,Firewall,Centralized inspection and control of inbound and outbound traffic using firewall and security policies.,No firewall,NSG only,Azure Firewall,Firewall + WAF,Full inspection + Zero Trust,,,
Azure,18,Networking,DDoS Protection,"Ability to detect, mitigate, and protect against distributed denial-of-service attacks.",None,Basic,Standard plan,Advanced + alerts,Automated mitigation,,,
Azure,19,Networking,Egress Traffic Control,Control and monitoring of outbound traffic to prevent unauthorized data exfiltration.,No control,Basic NSG,Defined rules,Firewall enforced,Zero trust egress control,,,
Azure,20,Networking,Private DNS Governance,Centralized management of DNS resolution using private DNS zones.,Public DNS only,Partial private,Defined DNS,Central DNS mgmt,Automated DNS governance,,,
Azure,21,Compute,Deployment,Level of automation and standardization in application and infrastructure deployment processes.,Manual,Scripts,CI/CD,Full automation,GitOps,,,
Azure,22,Compute,AKS Maturity,Adoption and operational maturity of managed Kubernetes for containerized workloads.,None,Basic containers,AKS deployed,Scaled AKS,Auto-optimized,,,
Azure,23,Compute,Auto Scaling,Capability to automatically adjust compute resources based on workload demand.,None,Manual,Basic autoscale,Dynamic autoscale,Predictive scaling,,,
Azure,24,Compute,Image Mgmt,Standardization and lifecycle management of machine images used for provisioning compute resources.,Manual builds,Basic images,Golden images,Automated pipeline,Immutable images,,,
Azure,25,Storage,Backup Coverage,Extent to which workloads and data are protected through regular and reliable backups.,None,Partial,Scheduled backups,Automated backups,Immutable backups,,,
Azure,26,Storage,Encryption,Protection of data using encryption mechanisms both at rest and during transmission.,None,Partial,At-rest encryption,At-rest + transit,CMK + rotation,,,
Azure,27,Storage,Data Lifecycle,"Management of data retention, archival, and deletion based on defined policies.",None,Manual,Policies defined,Automated lifecycle,Intelligent lifecycle,,,
Azure,28,Storage,Geo Redundancy,Replication of data across geographic regions to ensure availability during regional failures.,None,LRS,GRS,RA-GRS,Multi-region active,,,
Azure,29,Storage,Data Classification,Classification of data based on sensitivity and business impact.,No classification,Manual,Defined policy,Automated classification,AI-driven classification,,,
Azure,30,Storage,Data Access Auditing,Monitoring and auditing access to sensitive data resources.,No auditing,Basic logs,Central logs,Alerts configured,Full audit automation,,,
Azure,31,Storage,Data Retention Compliance,Enforcement of data retention and deletion policies.,No policy,Manual,Defined policies,Automated enforcement,Policy-driven lifecycle,,,
Azure,32,Monitoring,Logging,"Collection and centralization of logs from infrastructure, applications, and security sources.",None,Partial,Central logs,Correlated logs,AI insights,,,
Azure,33,Monitoring,Alerting,Generation of notifications based on defined thresholds or anomalous system behavior.,Reactive,Basic alerts,Threshold alerts,Smart alerts,Predictive alerts,,,
Azure,34,Monitoring,Tracing,Visibility into application request flows to diagnose performance and dependency issues.,None,Basic metrics,App Insights,Full tracing,Auto RCA,,,
Azure,35,Monitoring,APM (Application Performance Monitoring),"End-to-end monitoring of application performance, dependencies, and user experience using tools like Azure Application Insights",No APM,Basic metrics only,Application Insights enabled for key apps,Full APM with dependency tracking and alerts,AI-driven insights with auto root cause and optimization,,,
Azure,36,Monitoring,Capacity Management,"Ability to monitor, analyze, and forecast resource utilization to ensure optimal performance and avoid over/under provisioning",No capacity tracking,Basic monitoring of usage metrics,Defined thresholds and periodic reviews,Predictive scaling based on trends and historical data,AI-driven forecasting with automated optimization,,,
Azure,37,Monitoring,SLO / SLA Management,Definition and tracking of service level objectives and agreements for system reliability.,No SLA,Basic SLA,Defined SLO/SLA,Monitored SLO,Automated SLO enforcement,,,
Azure,38,Monitoring,Runbook Automation,Use of automated runbooks to handle operational incidents and repetitive tasks.,Manual ops,Scripts,Basic automation,Automated workflows,Self-healing systems,,,
Azure,39,FinOps,Visibility,"Ability to track, analyze, and report cloud spending across resources and services.",None,Billing only,Dashboards,Budget alerts,AI optimization,,,
Azure,40,FinOps,Rightsizing,Optimization of resource allocation to match actual workload requirements and reduce waste.,None,Manual,Partial optimization,Automated,Fully optimized,,,
Azure,41,FinOps,Savings Plans,Utilization of reserved capacity or savings mechanisms to optimize long-term costs.,None,Minimal,Partial,Optimized,Fully optimized,,,
Azure,42,FinOps,FinOps Maturity,"Organizational capability to manage, optimize, and govern cloud costs through collaboration, accountability, and continuous optimization practices",No cost ownership or process,Basic cost tracking by IT only,Defined FinOps practices with shared responsibility,Cross-team accountability with regular optimization cycles,"Fully integrated FinOps with automation, forecasting, and real-time optimization",,,
Azure,43,DevOps,CI/CD,"Automation of build, test, and deployment processes for consistent and reliable delivery.",Manual,Partial,Full CI/CD,Automated,GitOps,,,
Azure,44,DevOps,IaC,"Use of code to define, provision, and manage infrastructure in a repeatable and version-controlled manner.",None,Scripts,Terraform/Bicep,Modular IaC,Policy-driven IaC,,,
Azure,45,DevOps,Code Repo,"Management of source code repositories with access control, branching strategy, and audit logging.",No standard repo usage,Basic repo usage (no control),Standard repo with branching strategy,Access control + PR reviews enforced,"Full governance with audit logs, protections, and policy enforcement",,,
Azure,46,DevOps,Code Security,"Implementation of security practices such as SAST, SCA, and secret scanning within the code lifecycle.",No security checks,Basic manual scans,Automated SAST/SCA scans,Integrated security gates in CI/CD,Continuous security with policy enforcement and auto remediation,,,
Azure,47,DevOps,Security,Integration of security practices and controls into the software development lifecycle.,None,Basic scanning,SAST/DAST,Integrated security,Full DevSecOps,,,
Azure,48,DevOps,Artifact Security,Ensuring integrity and security of build artifacts and container images.,No control,Basic checks,Scanning enabled,Policy enforcement,Policy enforcement,,,
Azure,49,DevOps,Secrets in CI/CD,Secure handling of secrets within pipelines without exposure or hardcoding.,Hardcoded,Basic masking,Secure storage,Vault integration,Fully automated secret rotation,,,
Azure,50,Governance,Policy,Enforcement of organizational standards and compliance through policy definitions and controls.,None,Basic,Standard,Enforced,Auto remediation,,,
Azure,51,Governance,Tagging,"Standardized labeling of resources to enable management, cost tracking, and automation.",None,Inconsistent,Standard,Enforced,Automated,,,
Azure,52,Governance,Landing Zone,"Structured cloud environment aligned with enterprise architecture, governance, and security standards.",None,Basic,Defined,Enterprise scale,Fully automated,,,
Azure,53,Governance,Policy-as-Code,Management of governance policies through version-controlled infrastructure-as-code practices.,No policy code,Manual policies,Partial IaC,Full policy IaC,Automated enforcement,,,
Azure,54,Governance,Compliance Reporting,Automated generation of compliance and audit reports across cloud resources.,Manual reports,Basic reports,Scheduled reports,Automated reports,Real-time compliance dashboard,,,
Azure,55,DR,RTO/RPO,Defined objectives for recovery time and data loss in the event of a failure or disaster.,None,Defined,Implemented,Tested,Automated,,,
Azure,56,DR,High Availability,Design of systems to ensure continuous operation with minimal downtime.,None,Basic,Multi-zone,Multi-region,Active-active,,,
Azure,57,DR,DR Testing,Regular validation of disaster recovery processes to ensure readiness and effectiveness.,Never,Rare,Annual,Quarterly,Automated,,,
Azure,58,DR,Failover Automation,Ability to automatically failover workloads during outages.,Manual failover,Partial,Defined failover,Automated failover,Self-healing failover,,,
AWS,59,IAM,MFA Coverage,Percentage of identities protected with multi-factor authentication across all access points.,No MFA,Optional MFA (<50%),MFA for admins & 70% users,MFA for >95% users,100% + passwordless (FIDO2),4,,
AWS,60,IAM,IAM Policy Management,Management and enforcement of permissions using IAM policies following least privilege principles.,Admin access,Basic policies,RBAC defined,Least privilege enforced,Automated least privilege,4,,
AWS,61,IAM,Privileged Access,"Control and monitoring of administrative access using roles, approvals, and temporary credentials.",Shared credentials,Named users,IAM roles used,Role-based with approvals,JIT access + session control,5,,
AWS,62,IAM,Identity Federation,Integration of AWS access with external identity providers for centralized authentication.,No federation,Basic SSO,SSO for key apps,Org-wide SSO,Conditional + risk-based access,4,,
AWS,63,IAM,Access Key Management,"Governance, rotation, and elimination of long-lived access keys in favor of secure alternatives.",Static keys,Manual rotation,Periodic rotation,Automated rotation,Keyless / short-lived tokens,5,,
AWS,64,Cloud Security,Security Hub Score,Overall security posture measured using AWS Security Hub findings and compliance standards.,Not tracked,<40%,40-70%,70-90%,>90% + auto fix,4,,
AWS,65,Cloud Security,Vulnerability Mgmt,Continuous detection and remediation of vulnerabilities across compute and container workloads.,None,Manual,Scheduled,Continuous,Auto remediation,4,,
AWS,66,Cloud Security,Secrets Management,"Secure storage, access, and automated rotation of secrets using centralized services.",Hardcoded,Partial usage,Centralized,Full governance,Auto rotation + audit,5,,
AWS,67,Cloud Security,Zero Trust,Implementation of identity-based access controls ensuring verification of every request regardless of location.,None,Basic,Partial,Org-wide,Fully adaptive,5,,
AWS,68,Cloud Security,SIEM Integration,Centralization and correlation of security logs and events into a SIEM platform for threat detection.,None,Partial,Central logs,Correlated alerts,AI detection,4,,
AWS,69,Networking,VPC Architecture,Design and segmentation of virtual networks to ensure secure and scalable connectivity.,Flat,Basic VPC,Segmented,Multi-tier,Zero Trust,4,,
AWS,70,Networking,Private Access,Use of private connectivity mechanisms to access services without exposing them to the public internet.,Public,Partial,Most private,Fully private,No public exposure,5,,
AWS,71,Networking,Firewall,"Enforcement of traffic control policies using security groups, network ACLs, and firewall services.",None,SG only,NACL + SG,AWS Network Firewall,Full inspection,4,,
AWS,72,Networking,DDoS Protection,Capability to detect and mitigate distributed denial-of-service attacks using AWS protection services.,None,Basic,Standard,Advanced,Auto mitigation,3,,
AWS,73,Networking,Egress Control,Restriction and monitoring of outbound traffic to prevent unauthorized data exfiltration.,None,Basic,Defined rules,Firewall enforced,Zero Trust egress,4,,
AWS,74,Compute,Deployment,Level of automation and standardization in application and infrastructure deployment processes.,Manual,Scripts,CI/CD,Automated,GitOps,4,,
AWS,75,Compute,Container Maturity,Adoption and operational maturity of container platforms such as ECS or EKS.,None,Basic Docker,ECS/EKS used,Scaled,Optimized autoscaling,3,,
AWS,76,Compute,Auto Scaling,Capability to dynamically adjust compute resources based on workload demand.,None,Manual,Basic ASG,Dynamic scaling,Predictive scaling,4,,
AWS,77,Compute,AMI Management,Standardization and lifecycle management of machine images used for provisioning resources.,Manual,Basic AMI,Golden AMI,Automated pipeline,Immutable images,4,,
AWS,78,Storage,Backup Coverage,Extent to which data and workloads are protected through reliable and consistent backup mechanisms.,None,Partial,Scheduled,Automated,Immutable backups,5,,
AWS,79,Storage,Encryption,Protection of data using encryption mechanisms at rest and in transit with managed key services.,None,Partial,At-rest,At-rest + transit,KMS + rotation,5,,
AWS,80,Storage,Data Classification,Categorization of data based on sensitivity and business impact for governance and compliance.,None,Manual,Defined,Automated,AI classification,5,,
AWS,81,Storage,Data Access Auditing,Monitoring and auditing of access to data resources for security and compliance purposes.,None,Logs,Central logs,Alerts,Full audit,5,,
AWS,82,Storage,Lifecycle Mgmt,"Management of data retention, archival, and deletion based on defined lifecycle policies.",None,Manual,Defined,Automated,Intelligent lifecycle,3,,
AWS,83,Monitoring,Logging,"Centralized collection and storage of logs from infrastructure, applications, and security services.",None,Partial,Central logs,Correlated,AI insights,4,,
AWS,84,Monitoring,Alerting,Generation of actionable alerts based on thresholds or anomalies in system behavior.,Reactive,Basic,Threshold,Smart,Predictive,4,,
AWS,85,Monitoring,Tracing,End-to-end visibility into application request flows and service dependencies.,None,Basic,Enabled,Full tracing,Auto RCA,3,,
