Practice,SDLC Phases,SDLC Activities,,,,,,,,,,,,,,,
Digital Product Engineering,Requirements & Design Phase:,"AI Used for Requirements Elicitation Analysis (eg., summarizing user stories, identifying gaps)",,,,,,,,,,,,,,,
,,"AI Used for Design Generation/ Validation (suggesting architecture patterns, UI/ UX elements)",,,,,,,,,,,,,,,
,,AI Used for Data Modelling/ Database Design Assistance,,,,,,,,,,,,,,,
,,AI used for API Design/ Specification Generation,,,,,,,,,,,,,Project AI Adoption % = (Total Earned Points / Total Possible Weighted Points) * 100,,Yes
,,AI Used for predict feasibility or risks during requirement analysis,,,,,,,,,,,,,,,
,,AI used for user story creation from BRD,,,,,,,,,,,,,,,
,,AI used for BRD creation ,,,,,,,,,,,,,Project AI Adoption %,,No 
,,,,,,,,,,,,,,,,,
,Development ,"AI Used for Code Generation (eg., generating boilerplate, functions, classes)",,,,,,,,,,,,,,,
,,AI Used to generate Boilerplate code just by uploading Figma (UX) designs,,,,,,,,,,,,,,,
,,AI Used for Code Refactoring/ Optimization Suggestions,,,,,,,,,,,,,,,
,,AI Used for Static Code Analysis/ Bug Detection  (AI-powered tools),,,,,,,,,,,,,,,
,,"AI Used for Code Review Assistance (eg., identifying patterns, suggesting improvements)",,,,,,,,,,,,,,,
,,"AI Used for Documentation Generation from Code (e.g., code docs, project reports, meeting notes)",,,,,,,,,,,,,,,
,,AI Used for Unit test case generation and code coverage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Testing & QA,"AI Used for Test Case Generation (e.g., from requirements, code)",,,,,,,,,,,,,,,
,,AI Used for Automated Test Script Generation,,,,,,,,,,,,,,,
,,AI Used for Test Data Generation,,,,,,,,,,,,,,,
,,AI Used for Automated UI/ API Testing with AI-Powered tools,,,,,,,,,,,,,,,
,,AI Used for Performance Testing Analysis/ Optimization Suggestions,,,,,,,,,,,,,,,
,,AI used for performance load test data generation,,,,,,,,,,,,,,,
,,AI Used for Defect Prediction/ Root cause Analysis,,,,,,,,,,,,,,,
,,AI Used for Test Coverage Analysis Optimization,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Deployment Phase,AI Used for Automated Deployment Pipelines/ CI/ CD Enhancement,,,,,,,,,,,,,,,
,,AI Used for Infrastructure as Code (IaC) Generation/ Validation,,,,,,,,,,,,,,,
,,"AI Used for Monitoring & Alerting (eg., anomoly detection, predictive maintenance)",,,,,,,,,,,,,,,
,,AI Used for Log Analysis/ Insights Generation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UX,AI used for user research phase,,,,,,,,,,,,,,,
,,AI used for visual design phase,,,,,,,,,,,,,,,
,,AI used for wireframing,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Network Monitoring,Core Activities,Are bandwidth utilization patterns analyzed with AI for optimization?,,,,,,,,,,,,,,,
,,Are AI/ML models used to detect traffic anomalies or unusual routing paths?,,,,,,,,,,,,,,,
,,Are routing/switching loops or drops flagged by AI-based flow analysis?,,,,,,,,,,,,,,,
,,Is AI used to detect rogue devices or unauthorized access patterns?,,,,,,,,,,,,,,,
,,Is GenAI used to generate or validate firewall/ACL rules?,,,,,,,,,,,,,,,
