Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Min Required Score (1-5),Notes and Evidence
1,AVAILABILITY,High Availability (HA) Coverage,"% of production databases with automated failover and redundancy (e.g., AlwaysOn, RAC, Mirroring).",HA exists for critical DBs only,HA exists for critical DBs only. Manual failover required.,HA standardized for all production DBs. Failover is automated but rarely tested.,Multi-node/site HA with 99.9% availability. Regular failover drills performed.,99.99%+ availability. Active-Active setups. Zero-downtime maintenance and automated healing.,1,,"Implement HA/DR strategy using Oracle RAC, Data Guard, or cloud-native HA capabilities to reduce single-point-of-failure risk."
2,DATA PROTECTION,Backup & Recovery Success Rate,% of successful backups and validated restores within defined RPO/RTO.,No formal backups. Success unknown. Recovery never tested.,Backups run but not monitored. Success rate <85%.,Backups monitored centrally. 85-95% success. Annual recovery testing.,>98% success. Failures trigger auto-alerts. Quarterly recovery validation.,"100% success. Automated, continuous recovery testing. Immutable backups.",3,,"Backup operations are automated through scheduled scripts/tool, and recovery procedures are periodically validated during refresh activities. However, recovery execution remains manual and centralized reporting/validation can be improved."
3,SECURITY,Hardening & Compliance,"Adherence to security baselines (e.g., CIS Benchmarks) and encryption status.",No hardening. Default passwords in use. No encryption.,Manual hardening applied. Some encryption at rest.,Standardized hardening policy. Automated scanning. Data-at-rest encryption for all.,90%+ compliance with CIS. TDE and Data-in-Transit encryption enforced.,100% compliance. Real-time drift detection. Automated masking and tokenization.,2,,"Basic security controls are implemented; however, encryption standards, password governance, and centralized compliance enforcement require improvement."
4,SECURITY,Privileged Access Management (PAM),"Management of DBA and Application account access, including MFA and least privilege.","Shared sa or root passwords. No MFA. Broad access for all.",Named accounts for DBAs. MFA on management plane. Periodic manual review.,RBAC enforced. MFA for all privileged access. Quarterly access audits.,Automated JIT (Just-in-Time) access. 95%+ MFA coverage. Integrated with PAM vault.,Zero-trust model. No permanent privileged accounts. AI-based anomaly detection for DB access.,2,,Privileged access is managed through standard database authentication without MFA or enterprise PAM integration.
5,SECURITY,Vulnerability Management,"Process for scanning, identifying, and remediating DB-specific CVEs and configuration flaws.",No scanning. Vulnerabilities only addressed during major upgrades or after a breach.,Periodic manual scans. No formal SLA for patching critical vulnerabilities.,Monthly automated vulnerability scans. Critical patches applied within 30 days.,Real-time vulnerability assessment. Integrated with SOC/SIEM. 95% of DBs meet patch SLAs.,"Continuous zero-day protection. Automated virtual patching and instant remediation of drift.",2,,"Vulnerability remediation activities are partially aligned with quarterly patching cycles; however, centralized vulnerability scanning and SLA-driven remediation require improvement."
6,PERFORMANCE,Query Tuning & Analytics,"Monitoring of slow queries, index fragmentation, and execution plans.",No monitoring. Performance issues handled reactively based on user complaints.,Basic resource monitoring (CPU/Memory). Occasional manual tuning.,APM/DB monitoring tools in place. Slow query logs reviewed weekly.,Proactive tuning based on wait-state analysis. Automated alerts for performance degradation.,AI-driven query optimization. Predictive performance analytics. Zero manual tuning required.,4,,"Oracle OEM-based monitoring provides proactive visibility into database performance, query bottlenecks, and resource utilization, enabling operational performance management."
7,LIFECYCLE,Patching & EOL Exposure,% of DBs on supported versions and current security patch levels.,No patching schedule. Many EOL versions in production.,Inconsistent patching. Vulnerability remediation takes >60 days.,Documented patch cycle (Quarterly). <10% EOL exposure.,Automated patch deployment. 95%+ compliance within 30 days of release.,Zero EOL versions. Self-patching/Green-Blue deployment pipelines. Real-time compliance.,4,,"Quarterly patch management processes are established and operationally maintained; however, further automation and compliance reporting opportunities exist."
8,OPERATIONS,Automated Provisioning,"% of DB deployments handled via IaC (Terraform, Ansible) or Self-Service Portals.",Manual DB creation. Configuration varies every time.,Basic scripts for installation. 50% manual effort remains.,Standardized images/templates. DB-as-a-Service (DBaaS) available for Dev.,90%+ IaC coverage. Automated configuration management and drift detection.,100% automated lifecycle. GitOps workflow. Self-healing configuration.,2,,"Provisioning activities are primarily manual, supported by scheduled backend scripts without Infrastructure-as-Code or orchestration framework integration."
9,TRANSFORMATION,Cloud & Platform Modernization,"Transition from legacy VM-based DBs to Cloud-Native/PaaS (RDS, Cloud SQL, Aurora) or NoSQL.",Entirely on-prem legacy VMs. No cloud strategy.,Some Lift & Shift to cloud VMs (IaaS). No PaaS usage.,Strategy defined for PaaS adoption. 30% of non-prod on PaaS/DBaaS.,70%+ of workloads on PaaS. Significant use of NoSQL/NewSQL where applicable.,100% Cloud-Native or Serverless where possible. Multi-region/Global distribution.,2,,"Cloud migration initiatives are in progress; however, migration activities remain largely manual without standardized cloud-native operational practices."
10,TRANSFORMATION,CI/CD Integration (Database DevOps),Integration of database schema changes into the application deployment pipeline.,Manual SQL scripts run by DBAs. No version control for schemas.,"SQL scripts stored in Git, but deployments are still manual.","Automated schema migrations (e.g., Liquibase/Flyway) in non-prod environments.",Full CI/CD for DB changes in all environments. Automated rollback capability.,DataOps fully realized. Self-service schema changes with automated policy guardrails.,2,,Database deployment and change management activities are currently executed manually without CI/CD pipeline integration.
