Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,CLUSTER AND RESOURCE HEALTH,,,,,,,,,
1,Cluster and Resource Health,Cluster CPU Utilisation,Average CPU utilisation across all hosts in each vSphere cluster as a % of total available CPU capacity. High utilisation risks performance degradation and reduces headroom for HA failover.,No capacity monitoring. CPU utilisation unknown. VMs frequently competing for resources.,Basic monitoring in place. Average utilisation often above 80%. No capacity planning.,CPU utilisation tracked. Average between 60-80%. Alerts configured. Quarterly capacity review.,Average CPU below 70%. DRS automation balanced across hosts. Proactive capacity planning.,Average CPU below 60%. Predictive capacity management. DRS fully automated. Zero resource contention incidents.,3,
2,Cluster and Resource Health,vCPU to pCPU Ratio,The ratio of virtual CPUs allocated to VMs versus physical CPU cores available per cluster. Over-subscription impacts performance under load.,Ratio unknown. No governance on VM sizing. Significant over-commitment present.,Ratio tracked per cluster but frequently exceeds 8:1. Performance issues common under load.,Ratio maintained at or below 6:1 for most clusters. VM sizing guidelines exist.,Ratio at or below 4:1 for production clusters. Right-sizing reviews conducted. Alerts on breach.,Ratio at or below 3:1 for critical workloads. Automated right-sizing recommendations. VM sizing enforced via policy.,3,
3,Cluster and Resource Health,Memory Balloon and Swap Activity Rate,"Frequency and magnitude of VMware memory reclamation techniques being invoked, indicating memory pressure across the cluster.",Memory pressure events frequent. No monitoring. VMs experience significant performance degradation.,Ballooning events occur regularly. Monitored reactively. No proactive response.,Ballooning events tracked and alerted. Proactive memory additions when thresholds are breached.,"Ballooning rare, fewer than 5 events per month per cluster. Memory headroom maintained. Automated alerts.",Zero ballooning or swap events. Predictive memory management. Resource pools enforce isolation.,3,
4,Cluster and Resource Health,Storage Latency KPIs,"Average read and write latency experienced by VMs, measured at the datastore or vSAN level. Targets are read below 10ms and write below 5ms for production workloads.",Storage latency not monitored. Performance issues reported by end users. No baseline established.,Basic latency monitoring. Latency often exceeds 20ms. No SLA defined. Reactive response only.,"Latency monitored per datastore. SLA defined. Average read below 15ms, write below 10ms.",Latency consistently at read below 10ms and write below 5ms. Alerts trigger capacity review.,"Read below 5ms, write below 2ms. Predictive I/O analytics. Automated tiering. Zero latency incidents.",3,
,AVAILABILITY AND RESILIENCY,,,,,,,,,
5,Availability and Resiliency,HA Admission Control Compliance,% of vSphere clusters with HA Admission Control enabled and configured to reserve sufficient resources to tolerate at least one host failure without violating VM restart guarantees.,HA not configured or disabled on most clusters. Single points of failure unmanaged.,HA enabled but Admission Control not configured. No guarantee of failover capacity.,HA with Admission Control enabled on all production clusters. Tolerance set for 1 host failure.,HA and Admission Control configured for N+1 or N+2 tolerance. Tested annually. Alerts on policy drift.,HA tested quarterly via simulated host failures. N+2 for critical clusters. Automated compliance validation.,4,
6,Availability and Resiliency,Snapshot Age and Sprawl,"Tracking of VM snapshots older than 72 hours, which risk delta disk growth, performance degradation, and excessive storage consumption.",Snapshots created with no lifecycle policy. Snapshots weeks or months old are common.,Snapshot age not routinely monitored. Ad hoc cleanup. Snapshots frequently exceed 7 days.,Snapshot report generated weekly. Snapshots exceeding 72 hours are flagged. Manual cleanup process.,Automated alerts on snapshots exceeding 24 hours. Auto-delete policy for snapshots over 72 hours in non-production.,Zero snapshots older than 72 hours in production. Automated lifecycle management. Snapshot usage audited daily.,4,
7,Availability and Resiliency,RPO and RTO Compliance for Protected VMs,% of VMs covered by a defined backup or replication policy that meets the agreed Recovery Point Objective and Recovery Time Objective for their service tier.,No RPO or RTO defined for VMs. No protection policy. Recovery capability unknown.,RPO and RTO defined informally for some VMs. Coverage below 60%. Recovery never tested.,RPO and RTO defined for more than 75% of VMs by service tier. Backups monitored. Annual DR test.,More than 95% of VMs covered. SLA compliance reported monthly. DR tested twice yearly.,100% of VMs covered. RPO and RTO validated continuously via automated recovery testing. Real-time SLA dashboard.,4,
,SECURITY AND COMPLIANCE,,,,,,,,,
8,Security and Compliance,ESXi Host Patch Level Compliance,"% of ESXi hosts running patch levels within the approved patching SLA, assessed against VMware published release cadence and security advisory bulletins.",ESXi hosts rarely patched. Patch level unknown for most hosts. No formal process.,Patching occurs but inconsistently. Many hosts more than 6 months behind. No SLA defined.,Patch SLA defined. ESXi patched via Update Manager. More than 75% compliant.,More than 90% of ESXi hosts within patch SLA. Baseline profiles applied. Exceptions tracked.,100% compliance. Lifecycle Manager automates ESXi updates. Patches tested in staging first.,3,
9,Security and Compliance,vCenter MFA Enforcement,"Whether multi-factor authentication is enforced for all administrative access to vCenter Server and associated management interfaces via Identity Federation, Okta, or AD FS.",Single-factor password-only authentication for vCenter admin access.,MFA available but optional. Most administrators use password only. No enforcement.,MFA enforced for privileged and admin accounts. Standard monitoring accounts exempt.,MFA enforced for all accounts with write access. Identity federation configured.,MFA enforced for all accounts including read-only. Phishing-resistant methods enforced. Privileged access via PAM vault.,3,
10,Security and Compliance,VM Sprawl Rate,"% of VMs that are powered off for more than 30 days or are orphaned and not associated with an active workload, representing wasted resources and potential security risk.",No VM lifecycle management. Large number of powered-off and orphaned VMs. No tracking.,VM inventory exists but sprawl not tracked. More than 20% of VMs inactive. Cleanup ad hoc.,Sprawl report generated monthly. VMs powered off for more than 30 days are flagged. Cleanup process defined.,Sprawl tracked continuously. Less than 5% inactive VMs. Automated alerts trigger review workflow.,Less than 2% inactive VMs. Automated decommission workflow. VM lifecycle fully governed.,3,
,CAPACITY AND PERFORMANCE,,,,,,,,,
11,Capacity and Performance,Datastore Utilisation,"% of capacity used across all datastores, with a target of maintaining below 80% to ensure performance and room for snapshot and temporary file growth.",Datastore utilisation not monitored. Full datastore events common. Reactive management.,Utilisation checked manually. Datastores frequently exceed 85%. No automated alerts.,Utilisation monitored with alerts at 80%. Monthly capacity review. Manual remediation.,Alerts at 75%. Automated capacity reporting. Storage provisioning triggered proactively.,Utilisation maintained below 70%. Predictive analytics. Automated tiering and expansion. Zero datastore full events.,4,
,LIFECYCLE MANAGEMENT,,,,,,,,,
12,Lifecycle Management,VMware Tools Currency,"% of VMs running a current and supported version of VMware Tools, which is critical for performance and security guest OS visibility.",VMware Tools not managed. Many VMs running outdated or missing Tools.,Tools version tracked but update process manual and infrequent. More than 30% outdated.,Tools updated during maintenance windows. More than 80% running supported versions.,More than 95% running current Tools. Automated update via vCenter policy. Exceptions tracked.,100% current Tools. Automated update at VM power-on. Compliance enforced via policy.,5,
,OPERATIONAL PRACTICES,,,,,,,,,
13,Operational Practices,Change Success Rate,% of vSphere infrastructure changes that complete successfully without causing unplanned outages or rollbacks.,No formal change process. Changes made ad hoc. Frequent outages caused by changes.,Change process defined but inconsistently followed. Success rate below 85%. Limited testing.,Change process followed for major changes. Success rate between 85-92%. Post-change reviews performed.,Success rate above 95%. Pre-change testing in non-production. Automated rollback for failures.,More than 99% success rate. All changes follow automated pipeline. Pre and post validation automated.,5,
VIRTUALIZATION NETWORKING,,,,,,,,,,
14,Network and Mobility Health,vMotion and Storage vMotion Success Rate & Performance,"Metric definition: Percentage of vMotion and Storage vMotion operations that complete successfully without errors or manual intervention, combined with average migration duration and stun time. How measured: (Successful migrations / Total attempted migrations) x 100.","<80% success rate. Frequent failures or timeouts; no dedicated vMotion network. Average duration >10 minutes.",80-90% success rate. Basic vMotion network configured; average migration time 5-10 minutes.,"91-97% success rate. Dedicated vMotion vmkernel ports with at least 10 GbE; average vMotion duration <3 minutes.","98-99.5% success rate. Multi-NIC vMotion with load balancing and jumbo frames; pre-flight checks in place.",">=99.5% success rate with zero unplanned failures. Predictive scheduling and advanced techniques.",3,
15,Network and Mobility Health,Network Configuration Compliance and Health,"Metric definition: Percentage of ESXi hosts, Distributed Switches, and port groups that comply with standardized networking baselines, combined with network utilization, latency, and packet drop rates.","<60% compliance. Frequent configuration drift; high utilization (>90%) or latency (>10 ms); packet drops common.",60-80% compliance. Utilization often exceeds 80%; vMotion latency 5-10 ms; basic alerts configured.,"81-95% compliance. All production clusters use vDS; peak utilization <70%; vMotion latency <5 ms.","96-99% compliance. Uniform vDS policies, jumbo frames, and QoS enforced; utilization <60%; latency <2 ms.",100% compliance with zero drift. Utilization proactively managed; predictive analytics for congestion.,4,
,OPERATIONAL EXCELLENCE,,,,,,,,,
