Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,TECHNOLOGY,,,,,,,,,
1,Monitoring,Tool Coverage,Extent of infrastructure monitoring,Limited or no monitoring tools,Basic tools covering critical systems only,Standard tools covering most infra,Integrated monitoring across all systems,AI-driven predictive monitoring,3,
2,Monitoring,Alert Quality,Accuracy and relevance of alerts,"High noise, many false alerts","Some filtering, still noisy","Defined thresholds, reduced noise",Alerts tuned with low false positives,Intelligent alert correlation & auto-remediation,3,
3,Incident Management,Incident Detection,Ability to detect incidents,"Reactive, user-reported",Some alerts trigger detection,Proactive detection through monitoring,Automated detection with escalation,Predictive detection before impact,3,
4,Incident Management,MTTR (Mean Time to Resolve),Average time to resolve incidents,"Very high, inconsistent",Improving but not tracked consistently,Defined SLAs and tracked MTTR,MTTR optimized with automation,Continuous improvement with predictive fixes,3,
5,Incident Management,Escalation Process,Handling of incident escalation,No formal escalation,Informal escalation paths,Documented escalation matrix,Automated escalation workflows,Dynamic escalation based on impact,3,
,PROCESS,,,,,,,,,
6,Process,SOP/Runbooks,Documentation for operations,No documentation,Partial documentation,Standardized runbooks available,Runbooks regularly updated,Self-healing runbooks with automation,4,
7,Process,Change Management,Handling of infrastructure changes,Uncontrolled changes,Basic approval process,Formal change management process,Changes tracked and audited,Fully automated and risk-predicted changes,4,
8,Automation,Task Automation,Level of automation in operations,Fully manual,Basic scripts for repetitive tasks,Moderate automation,High automation across workflows,End-to-end autonomous operations,4,
9,Automation,Auto-remediation,Ability to auto-fix issues,No auto-remediation,Limited scripts for known issues,Defined auto-remediation for common issues,Advanced auto-remediation workflows,AI-driven self-healing systems,4,
10,Performance,SLA Compliance,Adherence to SLAs,Not tracked,Tracked inconsistently,SLA defined and monitored,High compliance with reporting,Continuous SLA optimization,4,
11,Performance,Availability,System uptime,Frequent outages,Improving uptime,Meets defined uptime targets,High availability architecture,Near-zero downtime with predictive scaling,4,
12,Reporting,Reporting & Dashboards,Visibility into operations,No reporting,Basic manual reports,Standard dashboards,Real-time dashboards,Predictive analytics dashboards,4,
13,Reporting,RCA (Root Cause Analysis),Depth of incident analysis,No RCA,Basic RCA for major incidents,Standard RCA for all incidents,RCA linked to prevention actions,Predictive RCA using analytics,5,
,PEOPLE,,,,,,,,,
14,People,Skill Level,Team capability,Untrained resources,Basic training provided,Skilled team with defined roles,Cross-skilled team,Highly specialized + AI-assisted workforce,4,
15,People,Shift Handover,Knowledge transfer between shifts,No structured handover,Informal updates,Documented handover process,Tool-based handover tracking,Automated and insight-driven handovers,4,
16,People,L1 Monitoring & Triage,Effectiveness of L1 team in alert acknowledgement and resolution,Acts as a pass-through/dispatch,Basic triage using SOPs,Consistent 24x7 monitoring with runbooks,High First Call Resolution (FCR),AI-assisted triage and automated resolution,4,
17,Governance,Audit & Compliance,Adherence to standards,No audits,Occasional audits,Regular audits,Continuous compliance monitoring,Automated compliance with real-time alerts,4,
18,Governance,Capacity Planning,Resource forecasting,No planning,Reactive planning,Defined capacity planning,Data-driven capacity forecasting,Predictive and auto-scaling capacity,4,
