Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,PATCH MANAGEMENT,,,,,,,,,
1,Patch Management,Patch Compliance Rate,% of Windows systems with all required patches applied within SLA windows at any given point in time.,No formal patching. Compliance unknown. Patches applied only after incidents.,Patching occurs inconsistently. Manually tracked. <70% compliance. Significant gaps.,Documented patch schedule. Tooling used (WSUS/SCCM/Intune). 70-89% compliance.,Automated deployment with exception management. 90-95% compliance. SLA breaches escalated.,Zero-touch automated patching. >95% compliance. Integrated with vulnerability management. Real-time dashboards.,4,
2,Patch Management,Mean Time to Patch (MTTP),"Average elapsed time from patch release by Microsoft to successful deployment across the estate, measured by severity tier.","No SLA defined. Patches applied weeks or months after release, if ever.",Informal SLA rarely met. Critical patches take >30 days. No severity tiering.,"SLA defined by severity (Critical 14 days, High 30 days). Tracked but not always met.","SLA consistently met: Critical 7 days, High 14 days, Medium 30 days. Exceptions tracked.",Critical patches deployed within 72 hours. Automated pipeline with pre-tested packages. Real-time SLA reporting.,3,
3,Patch Management,Failed Patch Deployment Rate,% of patch attempts that fail and require manual intervention or re-execution before compliance is achieved.,Failures not tracked. Patching done manually with no visibility into success or failure.,Some failures logged but no root cause analysis. Failure rate >15%. Remediation is reactive.,Failures tracked in patching tool. Rate between 5-15%. Basic retry logic exists.,Failure rate <5%. Root cause analysis performed. Automated retry and remediation workflows.,Failure rate <1%. Pre-deployment staging tests. Self-healing remediation scripts. Continuous improvement of package quality.,2,
,SECURITY AND HARDENING,,,,,,,,,
4,Security and Hardening,CIS Benchmark Compliance Score,"% of CIS Windows Benchmark controls passing across the managed estate, assessed via automated scanning tools such as Nessus, Qualys, or Microsoft Secure Score.",No awareness or application of CIS benchmarks. No hardening baseline defined.,Ad hoc hardening applied. No formal benchmark adopted. Score below 50%.,CIS benchmark adopted. Automated scanning in place. Score between 50-75%.,Score between 75-90%. Exceptions documented with risk acceptance. Remediation tracked.,Score above 90% consistently. Benchmark enforced in golden image. Continuous compliance drift detection.,4,
5,Security and Hardening,Endpoint Protection Coverage,"% of Windows endpoints with an active, up-to-date endpoint protection or EDR solution deployed and reporting telemetry.",No centralised endpoint protection. Antivirus deployed ad hoc or not at all.,Antivirus deployed on most systems but not centrally managed. Gaps exist. No EDR.,Centralised AV/EPP deployed on more than 90% of estate. Managed console with reporting.,EDR deployed across more than 95% of estate. Alerts integrated with SIEM. Automated response.,100% EDR coverage. AI-driven threat detection. Automated containment. Zero blind spots.,5,
6,Security and Hardening,BitLocker Encryption Coverage,"% of Windows endpoints with full-disk encryption enforced via BitLocker, with recovery keys escrowed centrally.",No encryption enforced. No policy in place.,BitLocker enabled on some devices. No central key escrow. Inconsistent enforcement.,BitLocker enforced via GPO on more than 80% of endpoints. Keys stored in AD or Intune.,100% encryption on all portable devices. Keys centrally managed. Compliance reporting automated.,100% coverage including desktops. Pre-boot authentication enforced. Key rotation automated. Audit-ready.,3,
7,Security and Hardening,LAPS Deployment Rate,% of Windows systems using Microsoft Local Administrator Password Solution (LAPS) to manage and rotate unique local admin passwords per device.,Shared or static local admin passwords in use across the estate.,LAPS deployed on some systems. Large portions still using shared passwords.,LAPS deployed on more than 70% of estate. Policy defined. Some manual password management remains.,LAPS deployed on more than 95% of estate. Automated rotation. Integrated with PAM solution.,100% LAPS coverage. Integrated with enterprise PAM. Automated audit and anomaly detection.,2,
,IDENTITY AND ACCESS,,,,,,,,,
8,Identity and Access,Stale Account Ratio,"% of Active Directory accounts inactive for more than 90 days that have not been reviewed, disabled, or removed.",No account lifecycle process. Stale accounts accumulate indefinitely. No review performed.,Periodic manual reviews occur. More than 15% of accounts are stale. No automation.,Quarterly reviews scheduled. Stale accounts below 10%. Semi-automated discovery in place.,Automated stale account detection. Below 5% stale. Monthly review cycle with auto-disable.,"Below 1% stale accounts. Automated lifecycle management. Joiners, movers, leavers fully automated.",1,
9,Identity and Access,MFA Enforcement Coverage,% of user accounts for which multi-factor authentication is enforced for all access to Windows systems and management planes.,No MFA enforced. Password-only authentication across all systems.,MFA available but optional. Adopted by less than 50% of users. Privileged accounts unprotected.,MFA enforced for all privileged accounts and remote access. Regular users partially covered.,MFA enforced for more than 95% of all accounts. Conditional Access policies in place.,100% MFA with phishing-resistant methods such as FIDO2 or Windows Hello. Zero exceptions.,2,
10,Identity and Access,GPO Compliance Rate,"% of Active Directory Group Policy Objects applied as intended, with no configuration drift between defined policy and actual system state.",GPOs exist but are not managed or audited. Significant drift and conflicts present.,GPOs defined but poorly documented. Drift not detected. Manual audits rarely performed.,GPO structure documented. Quarterly compliance checks. Drift detected via tooling.,GPO compliance above 90%. Automated drift detection with alerting. Changes tracked in change management.,GPO compliance above 98%. All changes via approved pipeline. Drift auto-remediated. Full audit trail.,3,
,PERFORMANCE AND AVAILABILITY,,,,,,,,,
11,Performance and Availability,System Uptime and Availability,"% of scheduled uptime during which Windows systems are available and fully operational, excluding planned maintenance windows.",No uptime tracking. Availability unknown. Outages managed entirely reactively.,Basic uptime monitoring via ping. Availability approximately 95%. No SLA defined.,Agent-based monitoring deployed. Availability tracked against SLA. Targeting 99%.,99.5% availability achieved. Automated alerting and escalation. Capacity planning in place.,99.9% or higher availability. Predictive failure detection. Automated failover. Zero unplanned outages per quarter.,4,
12,Performance and Availability,Event Log Monitoring Coverage,"% of Windows systems whose security, application, and system event logs are centrally collected, parsed, and alerted on in real time.",No centralised log collection. Logs reviewed only after incidents occur.,Logs collected from some systems to a central store. No real-time alerting.,More than 80% of systems sending logs to SIEM. Basic alert rules defined. Reviewed regularly.,More than 95% log coverage. Correlated alerts. Automated triage for common events.,100% coverage. AI-driven anomaly detection. Automated response playbooks. SOC-integrated.,4,
,LIFECYCLE MANAGEMENT,,,,,,,,,
13,Lifecycle Management,EOL OS Exposure Rate,% of Windows systems running OS versions that have reached End-of-Life and no longer receive security updates from Microsoft.,No lifecycle tracking. Significant EOL OS in production such as Windows Server 2008 or Windows 7.,EOL systems identified but no formal remediation plan. More than 20% of estate on EOL OS.,EOL inventory maintained. Remediation plan in place. Between 5-20% of estate on EOL OS.,Below 5% EOL OS. Upgrade projects tracked. ESU licensing managed where unavoidable.,Zero EOL OS in production. Lifecycle roadmap proactively managed. OS upgrades automated.,3,
14,Lifecycle Management,Golden Image Currency,"Age and patch state of the base OS image used for provisioning new Windows systems, measured by time since last update.",No golden image. Systems built manually each time. No standardisation.,"Golden image exists but updated infrequently, more than 6 months old. Manual build process.",Golden image updated quarterly. Includes current patches. Stored in image library.,Golden image updated monthly. Automated build pipeline. Validation tests run before release.,"Golden image updated with every patch cycle. Fully automated build, test, and release pipeline. Zero manual steps.",2,
,OPERATIONAL PRACTICES,,,,,,,,,
15,Operational Practices,Automated Provisioning Coverage,"% of new Windows system builds delivered via automated provisioning tools such as MDT, SCCM, Intune Autopilot, or Ansible, versus manual installation.",All systems built manually. No automation. Build time exceeds 4 hours per system.,Automation tools available but used inconsistently. Less than 50% of builds automated.,Between 50-80% of builds automated. Standard process defined. Build time under 2 hours.,More than 90% automated provisioning. Build time under 45 minutes. Self-service for standard builds.,100% automated provisioning. Zero-touch deployment. Build time under 15 minutes. Full auditability.,1,
16,Operational Practices,Backup Success Rate,% of scheduled backup jobs for Windows systems that complete successfully without error within the defined backup window.,No formalised backups. Data loss risk is high. Backups done ad hoc if at all.,Backups configured but not monitored. Success rate below 85%. Recovery never tested.,Backups monitored. Success rate between 85-95%. Recovery tested annually.,Success rate above 98%. Failures trigger automated alerts and retries. Recovery tested quarterly.,Above 99.5% success rate. Automated recovery testing. RTOs and RPOs validated continuously. Immutable backups.,2,
17,Operational Practices,Configuration Drift Detection,"The ability to detect when a Windows system's actual configuration deviates from its approved baseline, and the speed of remediation.",No baseline defined. Configuration drift is unknown and undetected.,Baseline documented but drift not actively monitored. Manual periodic audits only.,Drift detection tooling deployed on more than 70% of estate. Alerts generated on deviation.,Drift detected and alerted within 1 hour on more than 90% of estate. Auto-remediation for common deviations.,Real-time drift detection across 100% of estate. Auto-remediation within minutes. Full audit trail.,3,
