Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,IT ASSET MANAGEMENT,,,,,,,,,
,PSF 1: Establishing and maintaining a lifecycle-based approach for the management of IT assets.,,,,,,,,,
1,Organizations & People,ITAM Resource Capability Level,"How well does the organization manage its org structure, roles, and resourcing of ITAM competencies?","No dedicated ITAM roles. Asset tasks are borrowed time from the Service Desk or Procurement.","ITAM roles are assigned to individuals, but they are often overwhelmed or lack formal authority to enforce policy.","A formal ITAM team exists with clear job descriptions and delegated authority. Staff have ITAM-specific certifications (e.g. CHAMP, CSAM).","Resource levels are data-driven. The organization measures ITAM labor hours per 1000 assets and adjusts staffing based on portfolio size.","AI handles routine administrative ITAM tasks, allowing the team to focus on strategic workforce planning and high-level competency development.",4,
2,Organizations & People,End-User Awareness Maturity,Are best practices communicated to the user community to ensure the safe and secure handling of equipment?,"Users receive no guidance. Equipment is treated as disposable with no sense of ownership or security responsibility.","Basic Acceptable Use Policies exist in an employee handbook, but they are rarely read or promoted after the first day of work.","A formal Asset Care guide is published. Regular awareness campaigns (newsletters, posters) remind users of their duties.","Awareness is tested. The organization tracks User-Controllable Loss (e.g. lost chargers, cracked screens) and targets training to high-incident areas.","Asset responsibility is gamified or linked to departmental sustainability goals. Users are proactive in reporting potential risks.",3,
3,Information & Technology,Asset Catalog Integration,"Does the organization use an Asset Catalogue or Preferred Asset List to standardize types (Hardware, Software, Mobile)?","No standards. Users or departments buy whatever they want from any vendor, leading to a massive number of unsupportable devices.","An unofficial list of preferred brands exists, but there are no technical controls to prevent non-standard purchases.",A formal Asset Catalogue is published. The Procurement system is restricted to these items for 90% of all requests.,"The catalogue is dynamically updated. The organization measures Catalogue Compliance and the financial benefit of volume discounting via standardization.",The catalogue uses AI to suggest the most energy-efficient or cost-effective models based on real-time market data and internal performance logs.,5,
4,Information & Technology,Discovery and Reconciliation Maturity,Does the organization perform discovery vs. baseline recording and reconcile updated records against the baseline?,"No discovery tools. The baseline is an Excel sheet that hasn't been updated in months.","Discovery tools are used occasionally (e.g. once a quarter). Discrepancies are noted but rarely fixed.","Automated discovery runs weekly. A formal Reconciliation Process is triggered when the scan doesn't match the baseline.","Discovery is real-time. The organization reports on Inventory Accuracy and Ghost Asset counts as a monthly KPI.","The system automatically updates the asset record if a known device moves or changes specs, flagging only high-risk anomalies for human review.",5,
5,Information & Technology,Asset-to-ITSM Integration Level,Are hardware assets integrated into the CMDB with linked relationships to Incident and Change records?,Assets and the CMDB are separate silos. You cannot see which incidents are tied to which specific asset.,"Manual linking exists. An agent can manually type an asset tag into an incident, but there is no clickable relationship or automated mapping.",The ITAM tool and CMDB share a data model. Every Incident/Change requires a linked Asset ID (CI).,"The organization uses the link to identify Lemon Assets (assets with high incident rates) to trigger early replacements.","The asset record provides a real-time health score based on its history of Changes and Incidents, predicting when it will likely fail.",5,
6,Partners & Suppliers,Supplier Integration Capability,How well does the organization procure assets and related services (maintenance/consumables) across different classes?,"Procurement is ad-hoc and decentralized. Each department buys its own assets, often at retail prices.","Centralized procurement exists for major hardware (laptops), but software and peripherals are still wild west credit card purchases.",A unified procurement value stream exists for all asset classes. Underpinning contracts (UCs) are in place with preferred vendors.,"Procurement is Just-in-Time. The organization measures vendor lead times and Contract Value Realization (did we get the discounts we negotiated?).","The procurement system is linked to vendor stock levels via API, automatically shifting orders to the fastest/cheapest partner in real-time.",5,
7,Partners & Suppliers,Asset Disposal Governance Maturity,Is there a formal disposal process (Hardware & Software) that includes data sanitization and partner certification?,Old assets are piled in a closet or thrown in the trash. Software licenses are simply forgotten and continue to be paid for.,"A local recycling company picks up the hardware. No formal Certificate of Destruction is required or stored.","A vetted disposal partner provides data wiping (DoD standard) and certificates for every serial number. Software licenses are formally retired.","The disposal audit trail is linked to the asset record. The organization reports on Sustainable Disposal (e.g. % diverted from landfill).",The organization generates revenue through secure asset remarketing and tracks the carbon footprint reduction of their disposal value stream.,3,
8,Value Streams & Processes,Standardized Change Alignment,Do changes to software/hardware assets follow formalized Release and Change Management processes?,Users install whatever software they find. Hardware is moved between desks without any record in the Change system.,"Major server changes follow a process, but Standard Changes (like a RAM upgrade or a software patch) are done without updating the asset record.","Any change that affects an asset's State or Configuration is captured in a formal Change record.",The system flags any change detected by discovery that doesn't have a matching approved Change Request (Unauthorized Change).,The system automatically blocks any asset change that would violate a license agreement or security policy.,4,
9,Value Streams & Processes,ITSM Process Integration,"How well are AM processes aligned with other ITSM processes (Incident, Request, Change) to ensure end-to-end visibility?",ITAM is isolated. Other teams don't know it exists and don't provide it with data.,"Occasional data sharing occurs (e.g. Service Desk sends a spreadsheet of broken laptops to ITAM once a month).","ITAM triggers are built into other processes (e.g. closing a New Hire Request automatically sets the asset status to In Use).","The organization measures the Velocity of the asset through the value stream (e.g. how long from Ordered to On User Desk).",A single Value Stream Map defines the flow across all practices. Friction is identified and removed through cross-functional automation.,5,
,PSF 2: Optimizing the value and costs of IT assets throughout their lifecycle.,,,,,,,,,
10,Organizations & People,AM Maturity Advancement,Does the organization continue to develop its AM capability towards a higher level of maturity (Continual Improvement culture)?,"No roadmap for improvement. Changes to the ITAM practice only happen after a crisis (e.g. a failed audit or massive budget overspend).","Leadership expresses a desire to improve, but there is no formal budget or project plan dedicated to maturing the ITAM practice.",A formal ITAM Maturity Roadmap is documented. The team uses ITIL 4 or ISO 19770 as a benchmark for yearly improvements.,"Improvement is data-driven. The organization performs Internal Gap Analysis twice a year and tracks the ROI of the ITAM practice itself.","The ITAM team is a laboratory for innovation, constantly testing AI and automated FinOps strategies to stay ahead of market shifts.",5,
11,Organizations & People,Asset Valuation Training Maturity,Is there a specialized training path for AM staff to handle Asset Valuation and demand analysis?,"Staff have basic technical knowledge but no training in financial management, valuation, or forecasting.","Staff are sent to general ITSM or vendor training, but Financial ITAM is learned entirely on the job through trial and error.","Training includes specialized certifications (e.g. CSAM, FinOps Practitioner) and internal training on the company's capital vs. operational expenditure (CAPEX/OPEX) models.","Competency is tracked. Staff are audited on their ability to accurately forecast asset costs and identify under-utilized license pools.","AM staff are trained to speak CFO language. They are capable of building complex business cases and financial models for multi-million dollar transformations.",5,
12,Information & Technology,Asset Performance Investment Index,Does the organization monitor the physical health/condition and performance of assets to inform investment decisions?,"No health monitoring. Assets are replaced only when they break or when a user complains of slowness.","Basic uptime monitoring exists for servers. For end-user devices, health is judged by age (e.g. it's 3 years old, so it must be bad).","Performance telemetry (CPU, RAM, Battery health, Disk wear) is collected from the toolset and stored in the asset record.","Data determines the refresh cycle. If a 4-year-old laptop has a Healthy score, its life is extended, saving capital.",The system predicts when a specific model's health will drop below a usable threshold and automatically orders a replacement before the user experiences downtime.,5,
13,Information & Technology,Tool-Driven Demand Analysis,Are the tools capable of valuating demand management options as part of project or network analysis?,"No valuation. Project teams guess how much hardware/software they need, often resulting in massive over-provisioning.","Tools provide historical usage data, which is manually used to estimate project needs. No what-if scenario modeling.","The ITAM tool allows for Demand Modeling calculating the cost impact of various scenarios (e.g. On-prem vs. Cloud vs. Hybrid).","The tool provides Right-Sizing recommendations. It compares current capacity against projected demand and identifies where existing assets can be reused.",The system identifies unused capacity across the network and suggests moving assets to meet new demand without new purchases.,5,
