Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,STORAGE CAPACITY PLANNING,,,,,,,,,
1,Storage Capacity Planning,Storage Threshold & Alerts,% of used capacity versus total usable space across all tiers.,No monitoring. Alerts only trigger when disks are 100% full.,Manual checks. Basic alerts set at 90% utilization.,Thresholds set at 80% (Warning) and 90% (Critical).,Automated alerts integrated into ITSM/ticketing system.,Dynamic thresholds based on workload and growth rate.,3,
2,Storage Capacity Planning,Growth Forecasting,Predictive analysis of when existing storage will be exhausted.,No forecasting. Storage is bought only when it runs out.,Spreadsheet-based tracking of historical monthly growth.,6-month growth forecast documented and updated quarterly.,12-month predictive modeling based on automated trends.,24-month predictive modeling based on automated trends.,2,
3,Storage Capacity Planning,Data Reduction Ratio (DRR),Effectiveness of Deduplication and Compression to save space.,No deduplication. Multiple copies of same data exist.,Compression enabled on some volumes but not monitored.,DRR tracked manually. Target ratios set for different tiers.,Automated reporting on savings from Dedup/Compression.,Global deduplication across all sites and cloud tiers.,2,
,STORAGE PERFORMANCE,,,,,,,,,
4,Storage Performance,IOPS & Latency Visibility,IOPS & Latency Visibility,No monitoring. Manual check of Storage Volumes during slow-downs.,Basic metrics available but not reviewed regularly.,Real-time monitoring with historical baselines.,Automated alerts for latency spikes & anomalies.,Read and Write IOPS are optimized across all storage.,1,
5,Storage Performance,Workload Tiering & SLOs,Workload Tiering & SLOs,All data on one tier. No performance SLAs.,Static tiers (SSD vs HDD) assigned manually.,Tiers defined by business impact & app needs.,Automated tiering. Data moves based on hot/cold use.,"Dynamic, cloud-bursting performance auto-scaling",1,
,STORAGE LIFECYCLE AND COMPLIANCE,,,,,,,,,
6,Storage Lifecycle and Compliance,Firmware update,Keep the Storage Firmware updated based on compatibility with SAN and Servers,No tracking. Arrays running various random versions.,Manual inventory list. Updates only during outages.,N-1 or N-2 policy defined. Annual update cycle.,Check periodically and update based on Advisory from OEM,Managing the Storage firmware compatibility based on SAN and Server Firmware.,1,
7,Storage Lifecycle and Compliance,Risk & Compliance,Patching & Security Remediation,Updates only when hardware fails.,Manual updates. Requires full system downtime.,Check periodically and update based on Advisories from Storage OEMs,"SLA-driven patching, Security fixes within 30 days.",SLA-driven patching. CVE Security fixes within 7 days.,1,
,BACKUP AVAILABILITY,,,,,,,,,
8,Backup Availability,Configuration of Backups,"% of workloads (VMs, DBs, Files) covered by Backup policies",Critical systems not configured in Backup,Partial backups configured,Backup policies defined and tracked but inconsistently enforced,>95% workloads configured. Policies enforced via centralized tools,100% workload protection with auto-discovery and policy-based assignment.,1,
9,Backup Availability,Backup Success rate,% of successful backup jobs over total scheduled jobs.,Backup failures not monitored.,Basic logs available but no tracking.,Success rate tracked. Failures reviewed manually.,>95% success rate. Alerts configured for failures.,>99% success rate. Auto-remediation and retry mechanism.,2,
10,Backup Availability,Backup Policy Compliance,Adherence to defined backup schedules and SLAs.,No defined backup schedule.,"Broken schedules, inconsistent execution.","Defined schedules, partial compliance.",>90% compliance with automating scheduling.,>99% compliance with policy-driven automation.,2,
,BACKUP RESTORE,,,,,,,,,
11,Backup Restore,Backup restore testing Frequency,Frequency and effectiveness of validating the backups that can be restored successfully.,"No restore testing performed, recovery success is unknown until failure occurs.","Occasional/manual restore tests for a few critical systems, no documentation or consistency",Restore testing is scheduled (e.g. quarterly/annual for key systems). Results are documented.,"Regular restore testing across critical workloads with defined SLAs, results tracked and reviewed.","Comprehensive restore testing covering critical workloads, integrated into DR drills with audit and compliance reporting.",2,
,BACKUP DATA PROTECTION AND SECURITY,,,,,,,,,
12,Backup Data Protection and Security,Backup Encryption,Encryption of backup data at rest and in transit to prevent unauthorized access,Backups are stored without encryption. Data is accessible in plain format,Encryption is enabled for some backups but not consistently across all workloads.,Encryption is standardized for backups but key management is basic or manually handled.,"Encryption is enforced for all backups, centralized key management with controlled access is implemented","Encryption is fully enforced with strong key lifecycle management (rotation, audit, restricted access) and compliance alignment.",2,
13,Backup Data Protection and Security,Ransomware Protection,Ability to protect backup data from ransomware attacks and ensure clean recovery.,"Backups are stored on standard with no isolation, vulnerable to ransomware encryption or deletion.","Basic security controls in place (access restrictions, antivirus) but backups are still modifiable and exposed.",Hardened backup repositories with limited access in Cloud/offsite backups.,"Immutable backups enabled with WORM/object lock enabled, separation between backup and production environments.",Strict access governance in place with air-gapped backup implemented. Regular recovery testing to ensure clean restore points.,2,
