Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,SESSION AND USER EXPERIENCE,,,,,,,,,
1,Session and User Experience,Session Launch Success Rate,"% of Citrix virtual app or desktop session launch attempts that succeed without error, measured across all delivery groups and Delivery Controllers.",Launch success not tracked. Users report failures frequently. No visibility.,Launch success tracked manually. Rate below 90%. Failures investigated only after escalation.,Launch success monitored via Director. Rate between 90-97%. Alerts on failure spikes.,Rate above 97%. Automated alerting. Failure patterns analysed. Root cause analysis for recurring issues.,More than 99% success rate. Predictive monitoring. Auto-recovery of failed VDAs. Real-time Director dashboards.,3,
2,Session and User Experience,Logon Time (End-to-End),"Total elapsed time from a user initiating a Citrix session to reaching a usable desktop or application, including authentication, profile load, and GPO processing.",Logon times not measured. Users frequently complain of slow logons. No baseline established.,Logon times occasionally measured. Average exceeds 120 seconds. No optimisation effort.,Logon time monitored. Average between 60-120 seconds. Profile and GPO optimisation in progress.,Average logon below 60 seconds. Profile solution optimised using FSLogix or UPM. GPOs streamlined.,Average logon below 30 seconds. Fully optimised. Synthetic transaction monitoring. Proactive alerting on degradation.,3,
3,Session and User Experience,ICA Round Trip Time,"The time in milliseconds for a round-trip of ICA protocol packets between the client and VDA, a primary indicator of perceived session responsiveness. Target is below 150ms.",ICA RTT not monitored. User experience complaints not correlated with network metrics.,RTT monitored ad hoc. RTT often exceeds 300ms. No SLA. Users report poor performance.,RTT monitored via Director or Analytics. Average below 200ms for most users. Alerts configured.,Average RTT below 150ms. Alerts trigger network review. Branch optimisation applied.,Average RTT below 100ms. HDX adaptive transport optimised. SD-WAN integrated. Per-user SLA reporting.,4,
4,Session and User Experience,Session Reliability Event Rate,"Frequency of ICA session reliability auto-reconnection events occurring due to network interruptions, measured per 1000 active sessions per day.",Session reliability events not tracked. Users experience frequent disconnections.,Events tracked reactively. More than 10 events per 1000 sessions per day. Root cause unknown.,Events tracked via Director. Between 5-10 per 1000 sessions per day. Network issues identified.,Fewer than 5 events per 1000 sessions per day. Network remediation is proactive. Trend reporting in place.,Fewer than 1 event per 1000 sessions per day. Predictive network analytics. Zero disconnection SLA for critical users.,3,
,INFRASTRUCTURE HEALTH,,,,,,,,,
5,Infrastructure Health,VDA Registration Rate,% of Virtual Delivery Agents that are successfully registered with a Delivery Controller and available to accept user sessions at any given time.,VDA registration not monitored. Unregistered VDAs discovered only when users report failures.,Registration monitored manually. Rate below 90%. Unregistered VDAs not auto-remediated.,Registration rate tracked in Director. Above 93%. Alerts on unregistered VDAs.,Registration rate above 97%. Auto-remediation attempted on unregistered VDAs. Daily reporting.,More than 99% registration rate. Automated self-healing. Root cause auto-diagnosed. Zero user impact.,5,
6,Infrastructure Health,Delivery Controller Availability,"% uptime of Citrix Delivery Controllers across all sites, which are the management and session brokering layer for the Citrix estate.",No monitoring of Delivery Controller health. Failures discovered by users.,Basic ping monitoring. Single Delivery Controller per site with no redundancy. Downtime exceeds 0.5%.,Redundant Delivery Controllers per site. Availability monitored. Targeting 99.9%.,99.9% availability. Automated failover tested. Health checks integrated with ITSM.,99.99% availability. Active-active configuration. Auto-failover. Synthetic transactions validate health.,5,
7,Infrastructure Health,StoreFront Availability,"% uptime of Citrix StoreFront servers, which serve the web or application portal through which users launch virtual apps and desktops.",StoreFront availability not monitored. Single StoreFront with no redundancy.,Storefront monitored via basic checks. Downtime events occur monthly. No redundancy.,Redundant StoreFront servers deployed. Load balanced. Availability above 99%.,More than 99.5% availability. Synthetic logon tests run every 5 minutes. Alerting integrated.,99.99% availability. Multi-site StoreFront with GSLB. Automated failover. Zero user-impacting outages.,5,
8,Infrastructure Health,Netscaler Availability,"% uptime of Citrix Netscaler devices, which external users use as a gateway to launch virtual apps and desktops.",Netscaler availability not monitored. Single Netscaler with no redundancy.,Netscaler monitored via basic checks. Downtime events occur monthly. No redundancy.,Redundant Netscalers deployed. Load balanced. Availability above 99%.,More than 99.5% availability. Synthetic logon tests run every 5 minutes. Alerting integrated.,99.99% availability. Automated failover with HA setup. Zero user-impacting outages.,4,
,CAPACITY AND PERFORMANCE,,,,,,,,,
