Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,PSF 1: Enabling and continually improving effective efficient and convenient communications,,,,,,,,,
1,Organizations & People,Onboarding & Training Program,"Is there a structured onboarding and training program that focuses on empathy, company culture, and communication skills?","No formal onboarding. New staff are expected to learn on the job by shadowing peers. Empathy and communication are assumed rather than taught.","Basic HR onboarding exists, but it is generic. There is a checklist of technical tasks, but no specific training module for soft skills.","A documented program specifically for Service Desk staff includes modules on active listening, empathy, and organizational culture. All new hires complete it.","The effectiveness of the training is measured via 30/60/90-day reviews. Post-training performance (e.g. first-month CSAT) is tracked to identify training gaps.","Training is a living program. It is updated quarterly based on actual call recordings or chat transcripts to address real-world communication trends or challenges.",2,
2,Organizations & People,Competency-Based Role Profiles,Do role profiles clearly define the competencies required for user interaction?,"Job descriptions are non-existent or borrowed from generic IT templates. They focus almost entirely on technical skills (e.g. knows Windows 11).","Role profiles exist and mention good communication skills, but these are not defined as measurable competencies.","Every role (Agent, Lead, Manager) has a competency profile that explicitly lists soft skills like Conflict Resolution, Empathy, and Technical Translation.",These competencies are used as the primary scoring mechanism in annual performance reviews. Pay increases or promotions are tied to moving up the competency scale.,"Role profiles are dynamically adjusted based on the value stream. As automation takes over simple tasks, profiles are updated to prioritize high-level emotional intelligence and problem-solving.",2,
3,Organizations & People,Employee Satisfaction (NPS/ESAT),Is there a formal program to monitor employee satisfaction (NPS/ESAT) and use it to drive improvements?,Employee satisfaction is not measured. Management only becomes aware of issues when someone resigns or an exit interview happens.,"Informal pulse checks happen occasionally, or staff participate in a generic company-wide annual survey that lacks Service Desk specific context.",A Service Desk-specific ESAT (Employee Satisfaction) or eNPS (Employee Net Promoter Score) is conducted at least twice a year with high participation.,"Data is analyzed to find root causes of burnout or dissatisfaction. Results are shared transparently with the team, and an action plan is created.",Employee Experience (EX) is treated as a lead indicator for User Experience (UX). Management can demonstrate a direct correlation between improved staff satisfaction and higher customer CSAT.,2,
4,Information & Technology,Omnichannel Capabilities,"Are omnichannel capabilities (AI, Chatbots, Voice Assistants) implemented and aligned with user preferences?","Users can use phone or email, but the data is separate. No AI or bots. A user has to repeat their story if they switch channels.","Phone, email, and maybe a basic web-chat feed into one tool. The desk knows a user's history across channels, but interaction is still 100% human-led.","A chatbot or portal is the primary entry point. Users can switch between channels (e.g. start on Chat, move to Phone) seamlessly. Channel choice is based on user feedback/data.","Chatbots use Natural Language Processing (NLP) to resolve common requests. The organization tracks Channel Migration and ensures the digital experience is preferred over the manual one.","The system offers the best channel based on the specific issue (e.g. this looks complex; would you like a call back?). Voice assistants are integrated for hands-free support.",2,
5,Information & Technology,AI Sentiment Analysis,Is AI-driven sentiment analysis used to evaluate and improve the quality of user interactions?,Interaction quality is only reviewed if a user complains formally or a manager happens to listen to a random call.,"Managers manually audit a small percentage of tickets or calls (e.g. 5 per agent per month) to judge tone and helpfulness.","The ITSM tool automatically flags tickets as Positive, Neutral, or Negative based on keywords. This data is used in monthly performance reports.","Sentiment analysis runs in real-time. If a chat or call turns Negative, a supervisor is alerted to intervene. Analysis is used to identify specific staff training needs.","The system analyzes historical data to predict if a user is likely to be frustrated (e.g. after 2 failed password resets) and proactively routes them to a high-empathy agent.",2,
6,Information & Technology,Knowledge Base Accessibility,Is a Knowledge Base actively maintained and accessible for user self-service?,Knowledge is in people's heads or buried in old PDFs/Word docs on a shared drive. Users have no way to help themselves.,"A Knowledge Base exists within the ITSM tool, but it is only for Service Desk agents. Users must still contact the desk to get the information.","A user-facing portal provides How-To articles. Content is reviewed on a schedule. Search functionality allows users to find basic solutions.",Article creation is part of the ticket resolution process. The organization measures Knowledge Deflection (how many tickets were NOT opened because of the KB).,"Knowledge is pushed to the user based on context (e.g. if a user opens a specific app, the top 3 tips appear). AI summarizes long articles into quick answers.",2,
7,Partners & Suppliers,Vendor Support Integration,Are vendor-managed support functions integrated into the communication flow to ensure a seamless user experience?,Users are given a separate phone number or email for the vendor. The internal Service Desk has no visibility into the status of vendor-held tickets.,The Service Desk logs a ticket and then manually contacts the vendor. Updates are manually copied back and forth between systems.,"Basic Ticket Bonding (e-bonding) is in place. When the Service Desk assigns a ticket to a vendor, it appears in the vendor's system, and status changes sync back.",The user can see vendor updates in real-time via the internal portal. The Service Desk measures Vendor Responsiveness as part of the end-to-end communication metric.,"The vendor acts as a seamless extension of the desk. AI-driven routing sends tickets to the right partner automatically, and the user experience is identical regardless of who solves it.",2,
8,Partners & Suppliers,Third-Party Communication Standards,Do third-party providers adhere to the same communication standards as internal staff?,"Vendors use their own templates, branding, and tone of voice. Users often get confused about who they are talking to.","Vendors are asked to include the company name in their emails (e.g. Support on behalf of Company X), but the quality and tone remain inconsistent.","Communication standards (tone, response times, language requirements) are written into the Underpinning Contracts (UC) or SOWs.","Vendor communications are audited using the same criteria as internal staff. CSAT scores are broken down by Internal vs. Partner to ensure parity.","Vendor staff attend the same Service Empathy and Company Culture workshops as internal employees. They are treated as one unified support community.",2,
9,Value Streams & Processes,Standardized Channels & Awareness,"Are standardized communication channels established, and is user awareness of these channels measured?","Users find help through word-of-mouth or by calling individual technicians directly. There is no official list of supported channels.","A list of channels (Phone, Email, Portal) exists in the Service Catalog, but user awareness is low, and shadow support (users bypassing the desk) is common.",A formal Communication Plan is in place. Channels are branded and marketed to the business. Users know exactly where to go for what type of issue.,"The organization measures Channel Stickiness and awareness levels. Promotion campaigns are run to move users from expensive channels (phone) to convenient ones (portal).","The organization uses in-app prompts and contextual marketing to guide users to the most efficient channel based on their current activity or location.",2,
10,Value Streams & Processes,Response & Resolution Standards,Are there defined response and resolution times for user interactions?,There are no formal targets for when a user should receive an initial response or a final resolution. Tickets stay open indefinitely.,"The Service Desk has internal goals for response times, but these are not shared with or agreed upon by the business.","Service Level Agreements (SLAs) for different priority levels are documented, agreed with customers, and visible to users when they log a ticket.",The focus shifts from SLA compliance to Experience Level Agreements. The desk measures Wait Time Satisfaction rather than just Time to Answer.,"The system provides real-time Estimated Time to Resolve to the user based on current queue volumes and technician availability, managing expectations perfectly.",2,
11,Value Streams & Processes,CSAT & Continual Improvement,Is user feedback (CSAT) directly integrated into the continual improvement initiatives for the desk?,The only feedback received is through unsolicited complaints or praise. No structured survey mechanism exists.,Transactional surveys (CSAT) are sent after a ticket closes. Results are filed away but rarely lead to specific process changes.,"CSAT data is reviewed in monthly management meetings. Bad scores trigger a standard follow-up process with the user to understand the issue.","Feedback trends directly populate the CSI Register. For example, if users complain about slow chat, a formal improvement project is launched and tracked.",The organization can demonstrate multiple instances where a user suggestion led to a significant redesign of a service or communication workflow.,2,
,PSF 2: Enabling the effective integration of user communications into value streams,,,,,,,,,
12,Organizations & People,Service Desk Business Positioning,Does leadership effectively position the Service Desk as a valued business partner across the organization?,Leadership views the Service Desk as a cost center or a necessary evil. The desk is not mentioned in company-wide communications or town halls.,"IT leadership acknowledges the desk's importance for keeping the lights on, but business stakeholders still view it as a technical hurdle rather than a partner.",The Service Desk is formally introduced to new business units. Leadership ensures the desk is consulted during the Design and Transition of new business services.,IT leadership promotes the desk by showcasing how support efficiency has protected business revenue or productivity. The desk has a seat at the table in service review meetings.,The Service Desk is recognized as a Business Intelligence Hub. Leadership uses insights from the desk to influence corporate strategy and digital transformation.,2,
13,Organizations & People,Business Outcome Alignment,Do staff understand the direct link between their support activities and specific business outcomes?,Staff focus solely on closing tickets. They do not know what the business units do or how a specific system failure impacts the company's bottom line.,"Staff know which department a user belongs to and have a general sense of High Priority apps, but they lack specific context on business cycles (e.g. end-of-quarter rush).","Agents are trained on the Business Impact of the services they support. They can explain why a specific request is critical to a business outcome (e.g. this affects payroll processing).",Performance metrics are tied to business uptime. Staff can see how their First Contact Resolution (FCR) directly correlates to saved business man-hours.,Staff proactively suggest changes to value streams because they see where business processes are failing. They act as Business Advocates within the IT department.,2,
14,Organizations & People,Remuneration & Productivity,Is there a fair remuneration package aligned with productivity and development goals?,"Pay is based on tenure alone. There are no incentives for performance or skill acquisition, leading to a minimum effort culture and high turnover.","A standard bonus structure exists (e.g. if the company does well, you get 2%), but it isn't linked to individual Service Desk performance or professional growth.","Remuneration tiers are clearly defined and linked to a Competency Matrix. Staff get raises for completing certifications (e.g. ITIL, Technical certs) or mastering new roles.","A portion of the package is at risk and tied to high-value metrics like NPS (Net Promoter Score), Team Productivity, and Quality of Value Stream integration.","The package includes development sabbaticals, intrapreneurship bonuses for innovation, and long-term incentives that make the Service Desk a career destination, not a stepping stone.",2,
15,Information & Technology,Ticket Automation & Routing,Does the toolset support automation for ticket categorization and routing to optimize the value stream?,"Manual Triage - Every ticket is read by a human dispatcher who manually selects the category and assigns it to a team. This creates a massive bottleneck.","Rule-based Routing - The tool uses basic If/Then logic (e.g. if the user selects Hardware, route to the Desktop Team). Categorization is still prone to human error.","Standardized Integration - The tool automatically categorizes and routes tickets based on keywords, user profile data, and service impact. Triage time is significantly reduced.","Machine Learning (ML) Categorization - The system learns from historical data to suggest categories and teams. The organization measures Routing Accuracy and Triage Velocity.","Zero-touch Routing - AI autonomously routes tickets to the correct value stream with >95% accuracy. It can trigger automated workflows (e.g. Auto-provisioning) without human intervention.",2,
16,Information & Technology,Predictive Analytics,Are predictive analytics used to anticipate user needs and prevent bottlenecks?,Reactive. The organization only looks at what happened yesterday. There is no attempt to look forward or predict spikes in volume.,"Basic Trending. Management uses historical reports to guess when they might be busy (e.g. we are always busy on Mondays). No formal analytical models are used.","Trend Forecasting. The tool generates forecasts based on historical seasonality and upcoming changes (e.g. predicting a 20% spike during a major software rollout).",Early Warning Systems. Analytics identify clusters of incidents in real-time before they become major outages. The system alerts managers to potential queue bottlenecks before they happen.,"Proactive Prevention. Predictive models trigger proactive communications to users (e.g. we notice your disk space is low; click here to clean it) to prevent a ticket from ever being created.",2,
17,Information & Technology,Remote Support Strategy,Is there a remote support tool strategy that enables rapid diagnosis and resolution?,"Ad-hoc. Agents use whatever free tool they can find, or they rely on over-the-shoulder verbal instructions to the user. No central security or logging.","Basic Screen Sharing. A standard tool (like Teams or Zoom) is used to see the user's screen, but agents lack administrative control or advanced diagnostic capabilities.","Integrated Remote Control. A dedicated tool (e.g. BeyondTrust, TeamViewer, LogMeIn) is integrated into the ITSM ticket. It allows file transfer, registry editing, and administrative bypass.","Unattended & Mobile Support. The strategy includes the ability to support mobile devices and unattended servers/workstations. Usage and Time-to-Resolve via Remote are tracked.","Advanced Diagnostics/AR. The tool automatically pulls system logs and diagnostic data the moment the session starts. For physical issues, Augmented Reality (AR) is used to guide users.",2,
18,Partners & Suppliers,Third-Party Collaboration Framework,Are there collaboration frameworks and ticket-bonding with third parties for seamless escalations?,Escalations happen via phone or generic support emails. There is no shared visibility; the Service Desk has to call the vendor just to get a status update.,"The Service Desk has logins to the vendor's portal. This is stuttering integration - agents have to jump between tools and manually copy-paste data to keep internal tickets updated.","Systems are integrated (via API or middleware). A ticket assigned to a vendor bonds to their system. Status changes, comments, and attachments sync automatically.",Real-time dashboards show the health of the partner-integrated value stream. The organization measures Integration Latency and Vendor Triage Time automatically.,"The organization and partners share ChatOps environments (e.g. shared Slack/Teams channels with bot integration). AI monitors the joint flow and flags potential OLA breaches before they happen.",2,
19,Partners & Suppliers,Legacy Systems Support Management,Is the impact of legacy systems support managed and optimized through partner agreements?,"Legacy systems are supported on a best-effort basis. Knowledge often resides with a single person (internal or external) with no formal support contract.","An inventory of legacy systems exists. There is a keep-it-running agreement with a vendor, but no specific SLAs for these dinosaur systems.","Specific Legacy Care contracts are in place with defined SLAs. These agreements include Extended Support clauses and clear end-of-life (EOL) or migration dates.","The organization tracks the Total Cost of Legacy (including the friction it causes in modern value streams). Partners are incentivized to keep legacy systems stable while preparing for decommission.","The partner takes full ownership of the legacy stack, providing modern wrappers (APIs) so these old systems can participate in new automated value streams without slowing them down.",2,
20,Value Streams & Processes,Strategic IT Involvement,Is the Service Desk involved in strategic IT initiatives and given notice of new support requirements?,The Service Desk finds out about a new product or system when the first user calls to report it. There is zero involvement in project lifecycles.,"The desk is notified a few days before Go-Live. They receive a basic document but have no time to train or provide input on supportability.",The Service Desk is a stakeholder in the Service Transition process. They attend CAB (Change Advisory Board) meetings and must sign off on support requirements before a project goes live.,"The desk is involved during the Design phase. They provide data on past failures to ensure new services are supportable by design, reducing future incident volumes.","The Service Desk helps define the IT roadmap. Leadership uses Service Desk pain points to decide which legacy systems to retire and which new technologies to invest in.",2,
21,Value Streams & Processes,Business Outcome Metrics,"Are Business Outcomes (not just SLAs) incorporated into metrics (e.g. Total Cost of Incidents, Business Productivity)?","The desk only tracks how many tickets they closed. No one knows if these tickets were important or how long the business was actually down.","Success is defined by Time to Resolve. While better, this doesn't capture the business impact (e.g. a 4-hour fix for 1 person vs. 1000 people is treated the same).",Incidents are categorized by business criticality. Reports start to highlight Business Hours Lost for key services.,The organization calculates the Total Cost of Incidents (TCOI) combining IT labor costs and lost business productivity. Reports speak in dollars lost rather than tickets closed.,"The Service Desk demonstrates Business Value Added. For example: by automating password resets, we returned 400 hours of productivity to the Sales team, worth $50,000 this month.",2,
