Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,PATCH AND VULNERABILITY MANAGEMENT,,,,,,,,,
1,Patch and Vulnerability Management,CVE Remediation Rate by Severity,% of identified CVEs remediated within the defined SLA per severity tier across the Linux server estate.,No vulnerability scanning. CVEs unknown. Patching done only in response to breaches.,Ad hoc scanning. CVEs identified but remediation unstructured. Critical CVEs take more than 30 days to fix.,"Scanning automated. SLAs defined (Critical 14 days, High 30 days). Tracked but inconsistently met.",SLAs consistently met. Exception process exists. Vulnerability aging tracked and reported monthly.,Critical CVEs remediated within 72 hours. Fully automated scan-to-patch pipeline. Zero unmitigated criticals.,4,
2,Patch and Vulnerability Management,Supported Kernel Version Coverage,"% of Linux servers running a kernel version within the vendor-supported lifecycle such as RHEL, Ubuntu LTS, or SUSE.",Kernel versions not tracked. Multiple EOL kernels in production.,Kernel inventory exists but more than 20% on unsupported versions. No upgrade roadmap.,Inventory maintained. Upgrade plan in place. Between 5-20% on unsupported kernels.,Below 5% on unsupported kernels. Lifecycle tracked per distro. Kernel upgrade process defined.,100% on supported kernels. Automated lifecycle tracking. Kernel upgrades integrated in patch pipeline.,5,
3,Patch and Vulnerability Management,Patch Cadence Compliance,"Adherence to the defined patching schedule per Linux distribution, measured as % of servers patched on time.",No patching schedule. Servers patched only after security incidents.,Patching schedule exists but less than 60% of servers patched on time. Manual process.,Between 60-85% of servers patched per schedule. Yum or APT automation partially deployed.,"Between 85-95% of servers patched per schedule. Automated with Ansible, Satellite, or Landscape.",More than 95% on-time compliance. Fully automated per distro. Staged rollout with health checks.,4,
,SECURITY AND HARDENING,,,,,,,,,
4,Security and Hardening,CIS Linux Benchmark Score,"% of CIS Benchmark controls for the relevant Linux distribution passing across the managed estate, assessed via automated tooling such as OpenSCAP, Tenable, or Qualys.",No hardening baseline. Default OS configurations in production.,Some hardening applied manually. No formal benchmark. Score below 50%.,CIS benchmark adopted. Automated scanning in place. Score between 50-75%.,Score between 75-90%. Exceptions documented with risk acceptance. Integrated in build pipeline.,Score above 90%. Benchmark enforced in golden image. Continuous drift monitoring.,4,
5,Security and Hardening,SELinux and AppArmor Enforcement,% of Linux servers with SELinux on RHEL or AppArmor on Ubuntu running in Enforcing mode rather than Permissive or Disabled.,SELinux or AppArmor disabled on most systems. Security modules bypassed.,Modules installed but running in Permissive mode on most systems. Not enforced.,Enforcing mode on more than 60% of servers. Exceptions tracked. Policies periodically reviewed.,Enforcing mode on more than 90% of servers. Custom policies where needed. Alerts on violations.,100% enforcement. Custom policies managed as code. Automated violation detection and response.,4,
6,Security and Hardening,SSH Security Hygiene,"Adherence to SSH security best practices including root login disabled, key-based auth enforced, idle timeout set, protocol version 2 only, and regular key rotation.",Root SSH login enabled. Password authentication allowed. No key rotation policy.,Some controls applied such as no root login but key rotation and idle timeout not enforced.,Core SSH controls enforced via configuration management. Key rotation process defined.,More than 90% of servers fully compliant with SSH policy. Automated compliance checks.,100% SSH policy compliance. SSH keys managed via PAM or vault. Auto-rotation. Full access audit trail.,4,
7,Security and Hardening,Centralised Audit Logging (auditd),"% of Linux servers with auditd configured and forwarding logs to a centralised SIEM, covering key events such as auth, privilege escalation, file access, and network connections.",auditd not deployed. No central log collection from Linux systems.,auditd installed on some servers. Logs stored locally only. Not centralised.,auditd deployed on more than 70% of servers. Logs forwarded to central syslog or SIEM.,More than 95% coverage. Audit rules tuned to capture key security events. Alerts configured.,100% coverage with enriched audit rules. SIEM correlated. Automated anomaly detection.,4,
,IDENTITY AND ACCESS,,,,,,,,,
