Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,TECHNOLOGY,,,,,,,,,
1,Monitoring,Network Visibility,"Extent of monitoring across devices, links, and services",No monitoring; reactive troubleshooting,Partial visibility via basic tools,Standardized monitoring with dashboards,Integrated monitoring across domains,Predictive analytics with full visibility,4,
2,Automation,Network Configuration Mgmt,"Degree of automation in configuration, provisioning, and change management",Manual configuration,Limited scripts for repetitive tasks,Automated workflows for common tasks,End-to-end automated provisioning,"Fully autonomous, self-healing network",3,
3,Security,Threat Detection,Ability to detect and respond to network security threats,Reactive response only,Basic firewalls & IDS,Standardized security monitoring,Integrated threat intelligence & proactive response,AI-driven predictive threat prevention,4,
4,Capacity Mgmt,Bandwidth Utilization,Measurement and optimization of bandwidth usage,No tracking,Ad hoc bandwidth checks,Regular reporting & capacity planning,Proactive optimization with forecasting,"Dynamic, predictive capacity scaling",4,
5,Tooling,Integration of Tools,"Extent of integration across monitoring, automation, and reporting tools",No tools or siloed tools,"Limited, standalone tools",Standardized toolset,Fully integrated tool ecosystem,Unified AI-driven platform,5,
6,Architecture,High & Low-Level Network Architecture,Documentation and standardization of overall and detailed network design,No documentation; ad hoc design,"Partial diagrams, inconsistent updates",Standardized and documented architecture,Regularly reviewed and aligned with business needs,"Dynamic, automated architecture with predictive design",4,
7,Connectivity,Switch-to-Server Port Mapping,Accuracy and visibility of port-to-server mappings,No mapping; manual troubleshooting,Partial mapping maintained,Documented and updated mapping,Automated mapping with integrated CMDB,"Real-time, auto-discovered mapping with zero errors",4,
8,Segmentation,Network Segmentation,Logical separation of network zones for performance and security,Flat network; no segmentation,"Basic VLANs, inconsistent enforcement",Standardized segmentation policies,Proactive segmentation with compliance monitoring,Adaptive segmentation with AI-driven microsegmentation,4,
9,Configuration Mgmt,Identical Config Maintenance,Consistency of device configurations across environment,"Manual configs, prone to drift","Limited templates, inconsistently applied",Standardized templates with compliance checks,Automated config management with drift detection,Self-healing configs with zero drift,4,
10,Lifecycle Mgmt,Device Lifecycle Management,Tracking and managing device lifecycle from procurement to retirement,No lifecycle tracking,Ad hoc tracking in spreadsheets,Documented lifecycle process,Automated lifecycle tracking with alerts,Predictive lifecycle management with proactive refresh,4,
11,Resilience,Redundancy & Failover,Ability to avoid single points of failure,No redundancy; outages common,Limited redundancy in critical areas,Documented failover mechanisms,Automated failover tested regularly,"Self-healing, resilient architecture with zero downtime",4,
12,IP Management,IP Scheme Maintenance,Accuracy and completeness of IP address documentation,No IP records maintained,Partial IP records in spreadsheets,Standardized IP scheme documented,Centralized IPAM tool with automated updates,Fully automated IPAM with predictive allocation,5,
13,Logging,Device Log Management,Collection and analysis of device logs,Logs not collected,Basic logs collected manually,Centralized log collection,Automated log correlation and alerting,AI-driven log analytics with predictive insights,4,
14,Backup,Device Backup,Frequency and reliability of device configuration/data backups,No backups,Ad hoc manual backups,Scheduled backups with retention policy,Automated backups with verification,Continuous backup with instant recovery,4,
15,Innovation,Adoption of New Technologies,Speed and effectiveness of adopting emerging network technologies,No adoption; legacy only,"Limited pilots, inconsistent adoption",Documented evaluation and rollout process,Proactive adoption aligned with business strategy,Continuous innovation with industry-leading practices,4,
16,Performance,Performance Optimization,Ability to optimize network performance proactively,No optimization; reactive fixes only,Basic tuning on demand,Documented optimization processes,Proactive optimization with metrics-driven improvements,"AI-driven, predictive optimization with zero manual intervention",4,
17,Security,Security Hardening,Implementation of best practices to reduce vulnerabilities,No hardening; default configs,Basic hardening applied inconsistently,Standardized hardening policies,Continuous monitoring and proactive hardening,"Automated, adaptive hardening with predictive threat prevention",4,
18,Patch Mgmt,Patch Management,Timeliness and consistency of applying patches,No patching; unmanaged,Ad hoc patching,Documented patch cycles,Automated patch deployment with compliance checks,Predictive patching with zero-day response automation,4,
