Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,DISASTER RECOVERY (DR),,,,,,,,,
1,Disaster Recovery (DR),"IT Systems, Data Center & Technology","Readiness of IT infrastructure, platforms, and DR site capabilities to support system recovery during a disaster.","No dedicated DR infrastructure, recovery depends on rebuilding systems manually on available resources.","Basic DR setup exists (e.g. backups or limited standby systems), but capacity and readiness are not sufficient for full recovery.","DR environment is established for critical systems, infrastructure and replication are configured but not fully validated.","DR infrastructure is sized and maintained to support critical workloads, replication and failover capabilities are regularly tested.","DR infrastructure is robust and scalable, systems can be recovered reliably across sites with minimal disruption.",5,
2,Disaster Recovery (DR),Recovery Time Objectives,Maximum acceptable time to restore a system or application after a disruption,"RTO is not defined, recovery timelines are unpredictable and depend on manual effort.","Basic RTO targets exist for a few critical systems, but are not consistently achieved.","RTO is defined per application, recovery procedures are documented but execution varies.",RTO targets are consistently met for critical systems through tested DR processes.,"Recovery is streamlined with automated failover, RTO is minimized and consistently achieved across workloads.",5,
3,Disaster Recovery (DR),Recovery Point Objectives,Maximum acceptable data loss measured in time.,"RPO is not defined, data loss during failure is unpredictable.","Basic RPO targets exist for a few critical systems, but backups are infrequent and inconsistent.","RPO is defined per application, backup/replication schedules are aligned but not always met.",RPO targets are consistently achieved using regular backups or replication for critical systems.,"Near real-time data protection for critical workloads, minimal data loss with continuous or frequent replication.",5,
4,Disaster Recovery (DR),Data backup,Availability and accessibility of backup data during a disaster for successful recovery.,"Backups may exist but are not readily accessible during a disaster, recovery is uncertain.",Backups are available for some critical systems but may require manual effort or delays to access.,Backups are available for most critical workloads and can be accessed within defined procedures.,"Backup data is consistently available and accessible within defined RTO/RPO requirements, including offsite storage.","Backup data is readily accessible across locations (e.g. DR site/cloud) with minimal delay, supporting reliable recovery for most workloads.",5,
5,Disaster Recovery (DR),System Failover/Failback capability,Ability to switch operations to a DR environment (failover) and return to primary site (failback) with minimal disruption.,"No defined failover or failback process, recovery is manual and unstructured.","Basic failover possible for a few systems, but largely manual, failback process is unclear or untested.","Failover and failback procedures are documented, partial execution possible but requires manual coordination.","Failover and failback are tested and can be executed within defined RTO, processes are standardized for critical systems.","Failover and failback are streamlined with minimal manual effort, regularly tested and reliable across critical workloads.",5,
6,Disaster Recovery (DR),Documentation,"Availability, accuracy, and usability of documented DR plans, procedures, and dependencies.","No formal DR documentation, recovery depends on individual knowledge.","Basic DR documents exist for some systems, but are incomplete, outdated, or not easily accessible.","DR procedures are documented for critical systems, documents are available but not regularly updated.","Comprehensive DR documentation is maintained, regularly updated, and aligned with current infrastructure and processes.","DR documentation is standardized, version-controlled, easily accessible, and validated through regular DR testing and audits.",4,
,BUSINESS CONTINUITY (BC),,,,,,,,,
7,Business Continuity (BC),Risk Management,"Identification, assessment, and mitigation of risks that could impact business continuity.","No formal risk assessment, risks are addressed only after incidents occur.","Basic risk identification performed for some areas, assessments are informal and not regularly updated.","Structured risk assessment process exists, key risks are documented and periodically reviewed.","Comprehensive risk assessments are conducted regularly, mitigation plans are defined and tracked.",Risk management is integrated into business processes with continuous monitoring and regular updates aligned to business changes.,4,
8,Business Continuity (BC),Business Impact Analysis (BIA),"Process of identifying critical business functions, dependencies, and the impact of disruptions (including RTO/RPO requirements).","No formal BIA performed, critical business functions and impacts are not clearly understood.","Basic BIA conducted for a few critical functions, lacks consistency and is not regularly updated.","Structured BIA completed for key business units, critical functions, dependencies, and RTO/RPO are documented.","Comprehensive BIA covering all major business functions, reviewed periodically and aligned with business priorities.","BIA is regularly updated and integrated into planning, used to drive DR/BC strategies and investment decisions.",4,
9,Business Continuity (BC),Communication plans,"Defined processes for internal and external communication during a disruption, including roles, escalation paths, and stakeholders.","No formal communication plan, coordination happens informally during incidents.","Basic contact lists exist, but roles, escalation paths, and communication methods are unclear.","Communication plan is documented with defined roles, contact lists, and escalation procedures.","Communication plans are regularly updated, tested during drills, and include internal and external stakeholders.","Communication is well-coordinated and timely during incidents, plans are integrated with crisis management and continuously improved.",4,
10,Business Continuity (BC),Continuity strategies,"Defined approaches to maintain or quickly resume critical business operations during disruptions (e.g. alternate sites, remote work, manual workarounds, DR alignment).","No defined continuity strategies, business relies on reactive decisions during disruptions.","Basic strategies exist for a few critical functions (e.g. manual workarounds), but are not formalized or consistent.","Continuity strategies are documented for key business functions, aligned with BIA, but not fully tested.","Strategies are implemented, tested, and aligned with DR capabilities, alternate arrangements (sites, resources) are in place.","Continuity strategies are regularly validated, adaptable to different scenarios, and integrated into overall business operations.",4,
11,Business Continuity (BC),People & Process,"Readiness of personnel, roles, responsibilities, and operational processes to support business continuity during disruptions.","No defined roles or processes, response depends on individual effort and availability.","Basic roles are identified for key personnel, but responsibilities and processes are unclear or inconsistent.","Roles and responsibilities are documented, continuity processes are defined but not consistently practiced.","Teams are trained on their roles, processes are tested through drills and followed during incidents.","Roles and processes are well understood across teams, regular training and improvements ensure consistent and effective response",4,
